id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1506989516778876929,1506989490501570560,2022-03-24 09:41:13 Eastern Daylight Time,2022-03-24,09:41:13,-0400,1467845292,arrajolm,الرَّجل,,"وسيقام الحدث على منصة Decentraland و يسمح بالدخول المجاني للفعالية الافتراضية التي تضم مجموعة من اللقاءات، عروض الأفلام، الحفلات الموسيقيّة، إضافة إلى منطقة خاصة للتسوق الفاخر محاكاة على طراز جادة ""مونتيني"" الشهيرة في باريس. #ميتافيرس  https://t.co/MpoHfjevyo",ar,[],[],['https://pbs.twimg.com/media/FOnm80HXoAUszI0.jpg'],0,0,1,['ميتافيرس'],[],https://twitter.com/ArrajolM/status/1506989516778876929,False,,1,https://pbs.twimg.com/media/FOnm80HXoAUszI0.jpg,,,,,,,[],,,,
1506986820231479302,1506956130265833472,2022-03-24 09:30:31 Eastern Daylight Time,2022-03-24,09:30:31,-0400,421026545,hoganbrand,HOGAN,,@JBanon @BosonProtocol @TommyHilfiger @Deadfellaz @FangGangNFT @therebelsnft @8sianNFT @ikks616 @ngrave_official @ShopCider @ANREALAGE_ @decentraland ♥️,und,[],[],[],0,0,2,[],[],https://twitter.com/HoganBrand/status/1506986820231479302,False,,0,,,,,,,,"[{'screen_name': 'JBanon', 'name': 'Justin Banon', 'id': '165027708'}, {'screen_name': 'BosonProtocol', 'name': 'Boson Protocol 🪄📦', 'id': '1193497953933152256'}, {'screen_name': 'TommyHilfiger', 'name': 'Tommy Hilfiger', 'id': '30180137'}, {'screen_name': 'Deadfellaz', 'name': 'Deadfellaz 🧟\u200d♂️', 'id': '1417676536967090176'}, {'screen_name': 'FangGangNFT', 'name': 'Fang Gang', 'id': '1409482426343174146'}, {'screen_name': 'therebelsnft', 'name': 'The Rebels by House of Kalinkin', 'id': '1456208625735712768'}, {'screen_name': '8sianNFT', 'name': '8SIAN', 'id': '1436257156165029892'}, {'screen_name': 'ikks616', 'name': 'IKKS', 'id': '119749197'}, {'screen_name': 'ngrave_official', 'name': 'NGRAVE', 'id': '952093518943653888'}, {'screen_name': 'ShopCider', 'name': 'Cider', 'id': '1288393450417610752'}, {'screen_name': 'ANREALAGE_', 'name': 'ANREALAGE', 'id': '1873628216'}, {'screen_name': 'decentraland', 'name': 'Decentraland', 'id': '3291830170'}]",,,,
1506979503486259211,1506979503486259211,2022-03-24 09:01:26 Eastern Daylight Time,2022-03-24,09:01:26,-0400,59365878,cinranet,CINRA,,◆なぜ一流ブランドが続々とメタバースに参入？  https://t.co/pEqX1lk38w  【バレンシアガ、ドルガバ、アンリアレイジなどが注目した背景】3/24から世界最大級の『Metaverse Fashion Week』が開催。「次世代SNS」といわれるメタバースがファッションと相性いい理由とは｜@decentraland #MVFW  https://t.co/BraoQtkeJg,ja,"[{'screen_name': 'decentraland', 'name': 'decentraland', 'id': '3291830170'}]",['https://www.cinra.net/article/202203-briefing-metaversefashion_ysdmscl'],['https://pbs.twimg.com/media/FOnd3ujXIAEEGWO.jpg'],0,1,15,['mvfw'],[],https://twitter.com/CINRANET/status/1506979503486259211,False,,1,https://pbs.twimg.com/media/FOnd3ujXIAEEGWO.jpg,,,,,,,[],,,,
1506975159135215623,1506975159135215623,2022-03-24 08:44:10 Eastern Daylight Time,2022-03-24,08:44:10,-0400,14877483,agoracom,AGORACOM - George,,NEWS... @tokens_com $COIN Partners w/ @Forever21 for #Metaverse Storefront  ◻️ Forever 21 will open Metaverse storefront in @decentraland Fashion District during Fashion Week  📆 March 24th to March 27th  $SMURF $HIVE $ETH  #Crypto #Blockchain #web3   https://t.co/pn5nTrAL3E  https://t.co/uANSdZI9wp,en,"[{'screen_name': 'tokens_com', 'name': 'tokens.com', 'id': '1348722795207946242'}, {'screen_name': 'forever21', 'name': 'forever 21', 'id': '28384755'}, {'screen_name': 'decentraland', 'name': 'decentraland', 'id': '3291830170'}]",['https://agoracom.com/ir/Tokens/forums/discussion/topics/776068-tokens-com-partners-with-forever-21-for-metaverse-storefront/messages/2352035#message'],['https://pbs.twimg.com/media/FOnZ60gXsAIoBBB.jpg'],2,1,6,"['metaverse', 'crypto', 'blockchain', 'web3']","['coin', 'smurf', 'hive', 'eth']",https://twitter.com/AGORACOM/status/1506975159135215623,False,,1,https://pbs.twimg.com/media/FOnZ60gXsAIoBBB.jpg,,,,,,,[],,,,
1506972094944276483,1506972094944276483,2022-03-24 08:32:00 Eastern Daylight Time,2022-03-24,08:32:00,-0400,1047776579743633409,forkast_news,Forkast News,,Here's what you need to know in blockchain and crypto news today:  💰 Chinese telecommunications giant ZTE successfully registers metaverse trademarks 💰 Bollywood megastar Amitabh Bachchan gets chased over NFT taxes 💰 Decentraland hosts Metaverse Fashion Week  https://t.co/41SlxFYE8G,en,[],[],[],2,1,4,[],[],https://twitter.com/Forkast_News/status/1506972094944276483,False,,1,https://pbs.twimg.com/media/FOnKbiaVcAAKjw2.jpg,,,,,,,[],,,,
1506969122223329300,1506969122223329300,2022-03-24 08:20:11 Eastern Daylight Time,2022-03-24,08:20:11,-0400,998509048273125376,thestandardpop,THE STANDARD POP,,‘Metaverse Fashion Week 2022’ งานแฟชั่นวีกครั้งแรกในโลก Metaverse เริ่มขึ้นแล้วใน Decentraland  อ่านต่อ  https://t.co/h6PyzTh6TL  #MetaverseFashionWeek2022 #TheStandardPop  https://t.co/lR3wjhrivm,und,[],['https://thestandard.co/metaverse-fashion-week-2022-on-decentraland/'],['https://pbs.twimg.com/media/FOnUYILagAkA_q9.jpg'],0,3,4,"['metaversefashionweek2022', 'thestandardpop']",[],https://twitter.com/TheStandardPOP/status/1506969122223329300,False,,1,https://pbs.twimg.com/media/FOnUYILagAkA_q9.jpg,,,,,,,[],,,,
1506968599994544128,1506968599994544128,2022-03-24 08:18:07 Eastern Daylight Time,2022-03-24,08:18:07,-0400,272087341,jeskillings,Jonathan Skillings,,"""To Clerkclirk, Decentraland represented a supply-demand imbalance. The number of parcels is fixed, but he reckoned newbies adopting cryptocurrencies would plow in, pushing up the price of both bitcoin and plots. He was right.""   https://t.co/LXQRBnbCeG via @dvanboom @CNET",en,"[{'screen_name': 'dvanboom', 'name': 'daniel van boom', 'id': '261054423'}, {'screen_name': 'cnet', 'name': 'cnet', 'id': '30261067'}]",['https://cnet.co/36nBdlC'],[],0,0,0,[],[],https://twitter.com/jeskillings/status/1506968599994544128,False,,0,,,,,,,,[],,,,
1506968271265828866,1506927647271628804,2022-03-24 08:16:48 Eastern Daylight Time,2022-03-24,08:16:48,-0400,1193497953933152256,bosonprotocol,Boson Protocol 🪄📦,,@CryptoCordy @decentraland 🚀🚀🚀,und,[],[],[],0,0,2,[],[],https://twitter.com/BosonProtocol/status/1506968271265828866,False,,0,,,,,,,,"[{'screen_name': 'CryptoCordy', 'name': 'Cordy', 'id': '1402832065457016833'}, {'screen_name': 'decentraland', 'name': 'Decentraland', 'id': '3291830170'}]",,,,
1506958939799400449,1506958939799400449,2022-03-24 07:39:43 Eastern Daylight Time,2022-03-24,07:39:43,-0400,19967728,selfridges,Selfridges,,The first meta department store in the history of #web3 and anybody can visit! Interact as a guest or attach your crypto wallet to access all features. You might even recognise a friendly face on the door. @decentraland #MetaverseFashionWeek  https://t.co/62IXAYKnv3,en,"[{'screen_name': 'decentraland', 'name': 'decentraland', 'id': '3291830170'}]",[],['https://pbs.twimg.com/media/FOnLKHCXwAIUWA3.jpg'],0,1,7,"['web3', 'metaversefashionweek']",[],https://twitter.com/Selfridges/status/1506958939799400449,False,,1,https://pbs.twimg.com/media/FOnLKHCXwAIUWA3.jpg,,,,,,,[],,,,
1506952167587987467,1506952167587987467,2022-03-24 07:12:49 Eastern Daylight Time,2022-03-24,07:12:49,-0400,278057040,hollygshore,Holly Hagan 😇,,"In honor of Women's History Month, I'm partnering with @ShopCider 🥰 Catch me dressing up in Cider's wearables at their FIRST-EVER virtual store in Decentraland! You'll also be able to attend their beautifully-curated runway show, collect some poap badges or hang out with me 💁🏼‍♀️  https://t.co/q3mozMlozP",en,"[{'screen_name': 'shopcider', 'name': 'cider', 'id': '1288393450417610752'}]",[],"['https://pbs.twimg.com/media/FOnFAZZXIAUoTBs.jpg', 'https://pbs.twimg.com/media/FOnFAZbXwAkUyIa.jpg']",1,1,9,[],[],https://twitter.com/HollyGShore/status/1506952167587987467,False,,1,https://pbs.twimg.com/media/FOnFAZZXIAUoTBs.jpg,,,,,,,[],,,,
